Accession,Release_Date,Species,Genus,Family,Length,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source
QIA20044,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Fu,X., Li,D., Sun,Y.",,surface glycoprotein,China,Homo sapiens,"lung, oronasopharynx"
QIA20045,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Fu,X., Li,D., Sun,Y.",,ORF3a protein,China,Homo sapiens,"lung, oronasopharynx"
QIA20051,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Fu,X., Li,D., Sun,Y.",,ORF8 protein,China,Homo sapiens,"lung, oronasopharynx"
QIA20053,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Fu,X., Li,D., Sun,Y.",,ORF10 protein,China,Homo sapiens,"lung, oronasopharynx"
QIA20050,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,"Fu,X., Li,D., Sun,Y.",,ORF7b,China,Homo sapiens,"lung, oronasopharynx"
QIA20048,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Fu,X., Li,D., Sun,Y.",,ORF6 protein,China,Homo sapiens,"lung, oronasopharynx"
QHZ87576,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z., Liu,Y.",,orf1ab polyprotein,China,Homo sapiens,swab
QIA98610,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF6 protein,Taiwan,Homo sapiens,
QIA98613,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,nucleocapsid phosphoprotein,Taiwan,Homo sapiens,
QIA98614,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF10 protein,Taiwan,Homo sapiens,
QIA98611,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF7a protein,Taiwan,Homo sapiens,
QIA98612,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF8 protein,Taiwan,Homo sapiens,
QIA98607,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF3a protein,Taiwan,Homo sapiens,
QIA98608,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,envelope protein,Taiwan,Homo sapiens,
QIA98609,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,membrane glycoprotein,Taiwan,Homo sapiens,
QIA98605,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,orf1ab polyprotein,Taiwan,Homo sapiens,
QIA98606,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,surface glycoprotein,Taiwan,Homo sapiens,
QHZ87595,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,oronasopharynx
QHZ87596,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,oronasopharynx
QHZ87597,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,oronasopharynx
QHZ87598,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,oronasopharynx
QHZ87599,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx
QHZ87600,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,oronasopharynx
QHZ87591,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7088,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx
QHZ87592,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,oronasopharynx
QHZ87593,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,oronasopharynx
QHZ87594,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Zhang,J., Queen,K., Li,Y., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,oronasopharynx
QHZ87582,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87583,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf3a protein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87586,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87580,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z., Liu,Y.",,orf1ab polyprotein,China,Homo sapiens,swab
QHZ87588,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87589,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87581,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87584,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,envelope protein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87585,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,membrane glycoprotein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87587,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf7a protein,USA,Homo sapiens,"lung, oronasopharynx"
QHZ87590,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Li,Y., Zhang,J., Queen,K., Tao,Y., Uehara,A., Paden,C.R., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf10 protein,USA,Homo sapiens,"lung, oronasopharynx"
QIA20056,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,187,"Northill,J.A., Huang,B., Pyke,A., De Jong,A., van den Hurk,A., Taylor,C., Warrilow,D., Genge,D., Gamez,E., Hewitson,G., Mackay,I., Sultana,I., McMahon,J., Barcelon,J., Finger,M., Simpson,N., Nair,N., Burtonclay,P., Moore,P., Wheatley,S., Moody,S., Hall-Mendelin,S., Gardam,T., Moore,F.",,ORF1ab polyprotein,Australia,Homo sapiens,oronasopharynx
QHZ87577,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,"Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z., Liu,Y.",,orf1ab polyprotein,China,Homo sapiens,swab
QHN69983,2020-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,96,"Buathong,R., Wacharapluesadee,S., Lamsirithawon,S., Chaifoo,W., Ponpinit,T., Joyjinda,Y., Ruchisrisarod,C., Rodpan,A., Sirivichatakul,S., Vachiraphan,A., Plipat,T., Hemachudha,T.",,orf1ab polyprotein,Thailand,Homo sapiens,"lung, oronasopharynx"
QHQ82471,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,nucleocapsid phosphoprotein,USA,Homo sapiens,feces
QHQ82463,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf1ab polyprotein,USA,Homo sapiens,feces
QHQ82470,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf8 protein,USA,Homo sapiens,feces
QHQ82468,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,orf6 protein,USA,Homo sapiens,feces
QHQ82464,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Zhang,J., Lu,X., Lynch,B., Sakthivel,S.K.K., Whitaker,B.L., Kamili,S., Wang,L., Murray,J.R., Gerber,S.I., Lindstrom,S., Tong,S.",,surface glycoprotein,USA,Homo sapiens,feces
QHR93622,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,"Capobianchi,M.R., Lalle,E., Carletti,F., Bordi,L., Marsella,P., Colavita,F., Matusali,G., Nicastri,E., Ippolito,G., Castilletti,C.",,membrane glycoprotein,Italy,Homo sapiens,oronasopharynx
QHR63275,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS7a,China,Homo sapiens,lung
QHR63270,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,spike glycoprotein,China,Homo sapiens,lung
QHR63277,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS8,China,Homo sapiens,lung
QHR63276,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS7b,China,Homo sapiens,lung
QHR63273,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,membrane protein,China,Homo sapiens,lung
QHR63269,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,orf1ab polyprotein,China,Homo sapiens,lung
QHR63271,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS3,China,Homo sapiens,lung
QHR63278,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nucleocapsid protein,China,Homo sapiens,lung
QHR63274,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS6,China,Homo sapiens,lung
QHR63272,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,envelope protein,China,Homo sapiens,lung
QHR63254,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS6,China,Homo sapiens,lung
QHR63250,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,spike glycoprotein,China,Homo sapiens,lung
QHR63256,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS7b,China,Homo sapiens,lung
QHR63257,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS8,China,Homo sapiens,lung
QHR63258,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nucleocapsid protein,China,Homo sapiens,lung
QHR63255,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS7a,China,Homo sapiens,lung
QHR63253,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,membrane protein,China,Homo sapiens,lung
QHR63252,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,envelope protein,China,Homo sapiens,lung
QHR63251,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Zhou,P., Yang,X.L., Wang,X.G., Zhang,L., Zhu,Y., Si,H.R., Shi,Z.L.",,nonstructural protein NS3,China,Homo sapiens,lung
